section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
AI & ML,Concepts,Hard,What is a statistical process control (SPC)?,Using statistical methods to monitor and control a process,ML method,Deep learning technique,Hypothesis test,A
AI & ML,Concepts,Hard,What is the Bonferroni correction?,Adjusting significance threshold when making multiple comparisons,Single comparison adjustment,Feature selection method,Sample size calculation,A
AI & ML,Concepts,Medium,What is the chi-square test?,Tests independence between categorical variables,Tests mean difference,Tests variance,Tests correlation,A
AI & ML,Concepts,Medium,What is ANOVA?,Analysis of Variance — tests mean differences across 3+ groups,Analysis of 2 groups only,Regression method,Correlation method,A
AI & ML,Concepts,Easy,What is t-test?,Tests mean difference between two groups,Tests 3+ groups,Tests variance,Tests correlation,A
AI & ML,Concepts,Hard,What is Mann-Whitney U test?,Non-parametric test comparing two independent groups,Parametric t-test variant,Chi-square variant,Correlation test,A
AI & ML,Concepts,Hard,What is Kolmogorov-Smirnov test?,Tests if samples come from same distribution or a specified one,Only for normality,Only for two samples,Only for large samples,A
AI & ML,Concepts,Hard,What is statistical learning theory?,Theoretical framework studying conditions under which learning is possible,Practical ML only,Deep learning theory,Probabilistic theory only,A
AI & ML,Concepts,Hard,What is PAC learning?,Probably Approximately Correct — framework for learnability,Practical accuracy computation,Probabilistic accuracy check,Partially accurate classifier,A
AI & ML,Concepts,Hard,What is VC dimension?,Measure of model complexity — maximum number of points it can shatter,Vector count,Variable count,Validation count,A
AI & ML,Concepts,Hard,What is structural risk minimization?,Balancing empirical risk and model complexity (VC theory),Minimizing training error only,Minimizing test error only,Feature selection,A
AI & ML,Preprocessing,Easy,What is data preprocessing?,"Transforming raw data into clean, usable format for ML",Training a model,Evaluating a model,Deploying a model,A
AI & ML,Preprocessing,Easy,What is missing value imputation?,Replacing missing values with estimated values,Removing all missing rows,Flagging missing values,Ignoring missing values,A
AI & ML,Preprocessing,Easy,Mean imputation:,Replace missing values with feature mean,Replace with median,Replace with mode,Delete missing rows,A
AI & ML,Preprocessing,Medium,Median imputation preferred when:,Data has significant outliers,Data is normally distributed,Data is binary,Data has no outliers,A
AI & ML,Preprocessing,Easy,Mode imputation is for:,Categorical features,Numerical features,Time series,Binary features only,A
AI & ML,Preprocessing,Hard,KNN imputation:,Replaces missing with weighted average of K nearest neighbors,Mean imputation variant,Mode for all types,Deletes row,A
AI & ML,Preprocessing,Hard,Multiple Imputation:,Creates multiple imputed datasets and combines results for statistical validity,Single imputation,Mean imputation,Median imputation,A
AI & ML,Preprocessing,Hard,MCAR (Missing Completely at Random):,Missingness unrelated to observed or unobserved data,Related to unobserved,Related to observed,Always problematic,A
AI & ML,Preprocessing,Hard,MAR (Missing at Random):,Missingness related to observed but not missing data itself,Unrelated to all data,Related to unobserved,Always ignorable,A
AI & ML,Preprocessing,Hard,MNAR (Missing Not at Random):,Missingness related to the missing value itself,Unrelated to data,Random missingness,Always missing,A
AI & ML,Preprocessing,Easy,What is outlier detection?,Identifying data points far from the majority distribution,Feature selection,Class imbalance handling,Data augmentation,A
AI & ML,Preprocessing,Medium,IQR method for outliers:,Points below Q1−1.5×IQR or above Q3+1.5×IQR are outliers,Z-score based,Percentile based,Model based,A
AI & ML,Preprocessing,Medium,Z-score method for outliers:,Points with |z-score| > 3 typically considered outliers,IQR based,Model based,Percentile based,A
AI & ML,Preprocessing,Hard,Isolation Forest detects outliers by:,Isolating anomalies by randomly partitioning features,Clustering them,Modeling the distribution,Z-score method,A
AI & ML,Preprocessing,Hard,Local Outlier Factor (LOF):,Compares local density of point to its neighbors,Global density method,Tree-based method,Distance-only method,A
AI & ML,Preprocessing,Easy,What is feature scaling?,Transforming numerical features to similar range,Removing features,Encoding features,Selecting features,A
AI & ML,Preprocessing,Easy,Min-Max normalization formula:,(x − min)/(max − min),(x − mean)/std,x/max,(x − median)/IQR,A
AI & ML,Preprocessing,Easy,Z-score standardization formula:,(x − μ)/σ,(x − min)/(max − min),x/mean,x − median,A
AI & ML,Preprocessing,Hard,MaxAbsScaler:,"Scales each feature by its maximum absolute value to [-1, 1]","Min-Max to [0,1]","Standardization to N(0,1)",Robust scaling,A
AI & ML,Preprocessing,Hard,RobustScaler:,"Uses median and IQR, robust to outliers",Uses mean and std,Uses min and max,Uses percentiles only,A
AI & ML,Preprocessing,Medium,When to use StandardScaler:,When features are normally distributed and outliers not extreme,When data is skewed,When features are categorical,For tree-based models,A
AI & ML,Preprocessing,Medium,When to use RobustScaler:,When data has significant outliers,When data is normally distributed,For neural networks,For decision trees,A
AI & ML,Preprocessing,Medium,"Tree-based models (RF, XGBoost) require feature scaling?",No — they are scale invariant,"Yes, always",Only for deep trees,Only for shallow trees,A
AI & ML,Preprocessing,Easy,What is Label Encoding?,"Assigns integer values (0, 1, 2...) to categories",One-hot encoding,Binary encoding,Target encoding,A
AI & ML,Preprocessing,Medium,Issue with Label Encoding for nominal categories:,Implies ordinal relationship that doesn't exist,No issues,Always better than one-hot,Reduces dimensionality only,A
AI & ML,Preprocessing,Easy,One-hot encoding creates:,Binary column for each category,Single integer column,Target-based column,Hashed column,A
AI & ML,Preprocessing,Medium,Issue with one-hot encoding for high-cardinality:,Dimensionality explosion,Doesn't capture categories,Implies ordering,No issues,A
AI & ML,Preprocessing,Hard,Target encoding:,Replaces category with mean of target for that category,Mean of feature,Mode of target,Frequency of category,A
AI & ML,Preprocessing,Hard,Target encoding risk:,Data leakage if done before train-test split,Dimensionality explosion,Too slow,Always underfits,A
AI & ML,Preprocessing,Hard,Frequency encoding:,Replaces category with its frequency (count) in the dataset,Mean target encoding,Mode encoding,Binary encoding,A
AI & ML,Preprocessing,Hard,Binary encoding:,Encodes categories as binary (base-2) integers — reduces dimensions vs one-hot,One-hot encoding,Label encoding,Target encoding,A
AI & ML,Preprocessing,Hard,Hashing encoding:,Maps categories to fixed-length binary vector using hash function,Binary encoding,Frequency encoding,Target encoding,A
AI & ML,Preprocessing,Medium,What is Ordinal Encoding?,Encodes ordered categories preserving their relative order,Label encoding (no order),One-hot encoding,Frequency encoding,A
AI & ML,Preprocessing,Hard,What is the difference between Ordinal and Label Encoding?,Ordinal preserves meaningful order; Label assigns arbitrary integers,They are identical,Label preserves order,Ordinal uses floats,A
AI & ML,Preprocessing,Easy,What is dimensionality reduction in preprocessing?,Reducing number of features while preserving information,Feature selection only,Adding features,Scaling features,A
AI & ML,Preprocessing,Medium,What is feature selection vs extraction?,Selection keeps existing features; extraction creates new ones,Both identical,Selection creates new,Extraction keeps existing,A
AI & ML,Preprocessing,Hard,Wrapper methods for feature selection:,"Train model on feature subsets; evaluate performance (e.g., RFE)",Filter methods using statistics,Embedded methods,Correlation analysis,A
AI & ML,Preprocessing,Hard,Filter methods for feature selection:,Use statistical measures independent of any model,Train model on subsets,Use model coefficients,Use mutual information only,A
AI & ML,Preprocessing,Hard,Embedded methods for feature selection:,"Feature selection during model training (e.g., Lasso, tree importance)",Independent of model,Wrapper variants,Post-hoc selection,A
AI & ML,Preprocessing,Hard,Recursive Feature Elimination (RFE):,Iteratively removes least important features based on model weights,Adds features iteratively,Random feature selection,Filter method,A
AI & ML,Preprocessing,Hard,What is VIF and why it's used in preprocessing?,Detects multicollinearity; remove features with high VIF (>5 or 10),Variance importance factor,Value inflation factor,Validity information feature,A
AI & ML,Preprocessing,Medium,What is PCA in preprocessing context?,Transforms features to uncorrelated principal components,Direct feature selection,Feature encoding,Target transformation,A
AI & ML,Preprocessing,Medium,What is log transformation used for?,Reducing skewness in right-skewed distributions,Normalizing categorical data,Encoding binary data,"Scaling to [0,1]",A
AI & ML,Preprocessing,Hard,Box-Cox transformation:,Power transformation to make distribution more normal,Log only,Square root only,Reciprocal only,A
AI & ML,Preprocessing,Hard,Yeo-Johnson transformation:,Like Box-Cox but handles zero and negative values,Box-Cox variant for positive only,Log transformation,Square root transformation,A
AI & ML,Preprocessing,Easy,What is binarization?,Converting numerical features to 0/1 based on threshold,Normalization,Standardization,Encoding,A
AI & ML,Preprocessing,Medium,What is discretization (binning)?,Converting continuous features into categorical intervals,Encoding,Normalization,Feature selection,A
AI & ML,Preprocessing,Medium,Equal-width binning:,Divides range into bins of equal width,Equal frequency bins,Cluster-based bins,Model-based bins,A
AI & ML,Preprocessing,Medium,Equal-frequency binning (quantile):,Each bin has roughly equal number of samples,Equal width bins,Manual bins,Model bins,A
AI & ML,Preprocessing,Medium,What is feature interaction?,Capturing combined effect of two or more features,Correlated features,Redundant features,Scaled features,A
AI & ML,Preprocessing,Medium,Polynomial features:,Creates interaction terms and higher-degree features,Reduces features,Selects features,Scales features,A
AI & ML,Preprocessing,Easy,What is data augmentation?,Creating new training samples by transforming existing ones,Feature engineering,Data collection,Data annotation,A
AI & ML,Preprocessing,Easy,Common image augmentation techniques:,"Flip, rotate, crop, color jitter, zoom","PCA, t-SNE, scaling","One-hot encoding, label encoding",Normalization only,A
AI & ML,Preprocessing,Hard,Text augmentation techniques:,"Synonym replacement, back translation, random insertion","Normalization, scaling","Encoding, embedding",Tokenization only,A
AI & ML,Preprocessing,Easy,What is tokenization?,"Splitting text into words, subwords, or characters",Encoding words as integers,Normalizing text,Removing stopwords,A
AI & ML,Preprocessing,Easy,What is stemming?,"Reducing words to base/root form (e.g., running→run)",Adding word endings,Splitting compound words,Encoding words,A
AI & ML,Preprocessing,Medium,What is lemmatization?,Reducing words to dictionary base form using morphological analysis,Stemming without analysis,Splitting compound words,Removing stopwords,A
AI & ML,Preprocessing,Easy,What are stop words?,"Common words (the, a, is) often removed as they add little meaning",Rare words,Technical terms,Named entities,A
AI & ML,Preprocessing,Medium,TF-IDF:,Term Frequency × Inverse Document Frequency — weight for rare important words,Word count only,Binary word presence,Character count,A
AI & ML,Preprocessing,Easy,Bag of Words (BoW):,Represents text as word count vector ignoring order,Word order preserved,Semantic representation,Character-level,A
AI & ML,Preprocessing,Medium,What is word padding in NLP?,Adding zeros/special tokens to make sequences equal length,Word embedding,Word counting,Word tokenizing,A
AI & ML,Preprocessing,Easy,What is truncation in NLP?,Cutting sequences to maximum length,Padding,Stemming,Lemmatization,A
AI & ML,Preprocessing,Easy,What is data pipeline?,Automated sequence of data processing steps,ML model,Feature store,Training loop,A
AI & ML,Preprocessing,Medium,"What is ETL (Extract, Transform, Load)?","Process of extracting data, transforming it, loading to destination",ML training pipeline,Data annotation pipeline,Model deployment pipeline,A
AI & ML,Preprocessing,Hard,What is feature store?,"Centralized system to store, share, and serve ML features",Model registry,Data warehouse,Hyperparameter store,A
AI & ML,Preprocessing,Medium,What is data versioning?,"Tracking changes to datasets over time (e.g., DVC)",Model versioning,Code versioning,Config versioning,A
AI & ML,Preprocessing,Medium,What is schema validation?,Checking if data follows expected structure and types,Data cleaning,Feature engineering,Model evaluation,A
AI & ML,Preprocessing,Hard,What is data drift?,Statistical properties of input data change over time in production,Model drift,Concept drift (target),Feature selection issue,A
AI & ML,Preprocessing,Hard,What is covariate shift?,Distribution of input features changes between train and test/prod,Target distribution change,Label noise,Feature correlation,A
AI & ML,Preprocessing,Medium,What is label noise?,Incorrectly labeled training examples,Missing labels,Imbalanced labels,Sparse labels,A
AI & ML,Preprocessing,Easy,What is data cleaning?,"Correcting errors, removing duplicates, handling missing/outliers",Data augmentation,Data collection,Data labeling,A
AI & ML,Preprocessing,Easy,What is deduplication?,Identifying and removing duplicate records,Normalization,Feature selection,Outlier removal,A
AI & ML,Preprocessing,Easy,What is type casting in data preprocessing?,"Converting data from one type to another (e.g., string to datetime)",Encoding,Normalization,Imputation,A
AI & ML,Preprocessing,Medium,What is datetime feature extraction?,"Creating features from datetime (hour, day, month, weekday)",Encoding categories,Normalizing dates,Removing dates,A
AI & ML,Preprocessing,Hard,Cyclical encoding for time features:,"Using sine and cosine to capture cyclical nature (e.g., hour of day)",Label encoding time,One-hot encoding time,Normalizing time,A
AI & ML,Preprocessing,Hard,What is geospatial feature engineering?,"Creating features from lat/lon (distance, clustering, area)",Normalizing coordinates,Encoding addresses,Removing location data,A
AI & ML,Preprocessing,Hard,What is the Winsorization technique?,Capping extreme values at specified percentiles,Removing outliers,Z-score transformation,Log transformation,A
AI & ML,Preprocessing,Hard,What is data leakage in preprocessing?,Information from future/test leaks into training via preprocessing,Model overfitting,Missing data issue,Feature correlation,A
AI & ML,Preprocessing,Hard,How to prevent leakage in preprocessing?,Fit preprocessing transformers only on training data,Apply to all data,Fit on test data,Apply only to test data,A
AI & ML,Preprocessing,Hard,What is the correct order: split then scale OR scale then split?,"Split first, then scale (fit on train only)","Scale first, then split",Order doesn't matter,Scale after evaluating,A
AI & ML,Preprocessing,Easy,What is image normalization?,"Dividing pixel values by 255 (or using mean/std) to scale to [0,1] or N(0,1)",Resizing image,Augmenting image,Converting to grayscale,A
AI & ML,Preprocessing,Medium,What is class weight balancing?,Assigning higher loss weight to minority class during training,Oversampling,Undersampling,SMOTE,A
AI & ML,Preprocessing,Easy,What is corpus in NLP?,Large collection of text data used for training/analysis,Single document,Word vocabulary,Model weights,A
AI & ML,Preprocessing,Easy,What is vocabulary in NLP?,Set of unique tokens in the dataset,Training corpus,Embedding matrix,Language model,A
AI & ML,Preprocessing,Medium,What is OOV (Out-of-Vocabulary) handling?,Representing unknown words with special <UNK> token or subword tokenization,Removing unknown words,Flagging unknown words,Ignoring unknown words,A
AI & ML,Preprocessing,Hard,What is subword tokenization (BPE)?,Breaks rare words into common subword pieces to reduce OOV,Character tokenization,Word tokenization,Sentence tokenization,A
AI & ML,Preprocessing,Medium,What is sentence embedding?,Fixed-size vector representing entire sentence meaning,Word embedding,Document frequency,Sentence length,A
AI & ML,Preprocessing,Easy,What is data balancing?,Adjusting class distribution to improve model fairness and performance,Data normalization,Data augmentation,Data splitting,A
AI & ML,Preprocessing,Medium,What is Stratified K-Fold's role in preprocessing context?,Ensures each fold has same class distribution as full dataset,Speeds up preprocessing,Reduces data size,Creates synthetic samples,A
AI & ML,Preprocessing,Medium,What is the purpose of a feature engineering pipeline?,"Automates reproducible, consistent feature transformations for train and test",Selects models,Tunes hyperparameters,Evaluates model,A
AI & ML,Preprocessing,Hard,What is PCA whitening?,PCA + scaling each component to unit variance,Standard PCA,PCA with normalization only,PCA with rotation only,A
AI & ML,Training,Easy,What is model training?,Adjusting model parameters to minimize loss function,Testing the model,Selecting features,Deploying the model,A
AI & ML,Training,Easy,What is the training loop?,Iterative process: forward pass → compute loss → backward pass → update weights,Single forward pass,Data loading only,Validation only,A
AI & ML,Training,Easy,What is the loss function's role?,Measures how wrong model predictions are,Measures model size,Measures training speed,Measures data quality,A
AI & ML,Training,Medium,What is gradient?,Vector of partial derivatives of loss w.r.t. each parameter,Scalar error value,Weight vector,Bias value,A
AI & ML,Training,Easy,What is weight update rule in gradient descent?,w = w − lr × gradient,w = w + lr × gradient,w = gradient / lr,w = lr / gradient,A
AI & ML,Training,Medium,What is local minimum in optimization?,Point where loss is lower than nearby points but not globally lowest,Global minimum,Saddle point,Maximum,A
AI & ML,Training,Easy,What is global minimum?,Point where loss is absolutely lowest across all parameter values,Local minimum,Saddle point,Inflection point,A
AI & ML,Training,Hard,What is a saddle point?,Point where gradient is zero but is neither min nor max,Local minimum,Global minimum,Inflection point,A
AI & ML,Training,Hard,Why does gradient descent struggle with saddle points in deep learning?,Loss plateaus make learning very slow even though not converged,Saddle points cause divergence,Saddle points cause overfitting,No issue in practice,A
AI & ML,Training,Hard,What is learning rate warmup?,Gradually increasing learning rate at start of training for stability,Starting with high LR,Constant LR schedule,Reducing LR linearly,A
AI & ML,Training,Hard,Cosine annealing LR schedule:,"Decreases LR following cosine curve, possibly with warm restarts",Linear decay,Step decay,Exponential decay,A
AI & ML,Training,Medium,Step LR decay:,Reduces LR by factor every N epochs,Cosine decay,Warmup then constant,Linear decay,A
AI & ML,Training,Medium,Exponential LR decay:,LR reduced by factor γ at every epoch: lr = lr₀ × γᵗ,Step decay,Cosine decay,Cyclic LR,A
AI & ML,Training,Medium,Reduce on Plateau:,Reduces LR when a metric stops improving,Always reduces every epoch,Increases LR on plateau,Constant LR,A
AI & ML,Training,Hard,What is cyclic learning rate?,Oscillates between min and max LR to escape local minima,Constant LR,Always decreasing LR,Always increasing LR,A
AI & ML,Training,Hard,SGD with momentum update:,v = βv + gradient; w = w − lr × v,Standard SGD,Adam optimizer,RMSprop,A
AI & ML,Training,Hard,Momentum β=0.9 means:,90% past velocity + 10% current gradient contributes to update,Random weighting,Equal weighting,Full current gradient,A
AI & ML,Training,Hard,Nesterov momentum:,Computes gradient at lookahead position (more accurate update),Standard momentum,Adam variant,RMSprop variant,A
AI & ML,Training,Hard,RMSprop:,Divides LR by moving average of squared gradients (adapts per parameter),Momentum only,Adam optimizer,Vanilla SGD,A
AI & ML,Training,Hard,Adam optimizer:,Combines momentum (first moment) and RMSprop (second moment),SGD + batch norm,L1 + L2,Dropout + early stopping,A
AI & ML,Training,Hard,Adam hyperparameters:,"lr, β₁ (momentum), β₂ (RMSprop term), ε (numerical stability)","lr, batch size","lr, dropout","lr, L2 weight",A
AI & ML,Training,Hard,AdaGrad:,Adapts LR per parameter; decreases more for frequently updated,Momentum method,RMSprop variant,Adam variant,A
AI & ML,Training,Hard,AdaGrad limitation:,"LR monotonically decreases, eventually becoming too small",LR increases forever,Memory inefficient,No adaptive learning,A
AI & ML,Training,Hard,AdaDelta:,Addresses AdaGrad's diminishing LR using running average of updates,AdaGrad improvement with momentum,Adam without bias correction,RMSprop with momentum,A
AI & ML,Training,Hard,AMSGrad:,Adam variant ensuring monotonically decreasing effective LR (convergence guarantee),Adam with more memory,Adam with momentum only,RMSprop with moments,A
AI & ML,Training,Hard,What is gradient accumulation?,Accumulating gradients over multiple batches before updating (simulates larger batch),Gradient checkpointing,Gradient clipping,Gradient normalization,A
AI & ML,Training,Hard,What is gradient checkpointing?,Saves memory by recomputing activations during backward pass instead of storing,Gradient accumulation,Gradient clipping,Checkpoint saving,A
AI & ML,Training,Hard,Mixed precision training (fp16):,Using float16 for forward/backward; float32 for weight updates — speeds up + saves memory,Using only float16,Using only float32,Using int8 for all,A
AI & ML,Training,Hard,Automatic Mixed Precision (AMP):,PyTorch/TF tool that automatically handles fp16/fp32 switching safely,Manual fp16 coding,GPU-only optimization,Memory profiling tool,A
AI & ML,Training,Hard,What is distributed training?,Training model across multiple GPUs/machines,Training with larger batch,Training with more features,Training with more data only,A
AI & ML,Training,Hard,Data parallelism:,Same model on each GPU; different data batches; gradients averaged,Model split across GPUs,Feature parallelism,Synchronous only,A
AI & ML,Training,Hard,Model parallelism:,Model split across GPUs (for models too large to fit one GPU),Data split across GPUs,Ensemble training,Pipeline parallelism,A
AI & ML,Training,Hard,What is gradient synchronization in distributed training?,Averaging gradients from all workers after each batch,Sequential training,Model copying,Weight sharing,A
AI & ML,Training,Easy,What is the forward pass?,Input propagated through network to produce prediction,Gradient computation,Weight update,Loss computation,A
AI & ML,Training,Easy,What is the backward pass?,Computing gradients via backpropagation through the network,Forward computation,Prediction step,Data loading,A
AI & ML,Training,Medium,What is weight initialization's importance?,"Poor init can cause vanishing/exploding gradients, slow convergence",No importance,Only affects training speed,Only for CNNs,A
AI & ML,Training,Easy,Random initialization (Gaussian):,Small random values from Gaussian distribution,Zero init,Uniform random init,Pre-trained init,A
AI & ML,Training,Hard,Zero initialization problem:,All neurons learn identical features (symmetry breaking fails),Works fine,Only fails for ReLU,Only fails for CNNs,A
AI & ML,Training,Hard,What is the dead ReLU problem?,Neurons permanently stuck outputting 0 due to negative activation,Vanishing gradient,Exploding gradient,Overfitting issue,A
AI & ML,Training,Hard,How to fix dead ReLU?,"Use Leaky ReLU, PReLU, or ELU; careful weight init",Only learning rate adjustment,Only batch norm,No fix exists,A
AI & ML,Training,Hard,What is batch size effect on training?,"Larger batch: stable gradients, less regularization; Smaller: noisier, more regularizing",Larger always better,Smaller always better,No effect,A
AI & ML,Training,Hard,Linear scaling rule for batch size:,"When multiplying batch size by k, multiply learning rate by k",Divide LR by k,LR unchanged,Square root scaling,A
AI & ML,Training,Hard,What is the loss landscape?,High-dimensional surface of loss values over all parameter combinations,Training curve,Feature space,Data distribution,A
AI & ML,Training,Easy,What is loss curve (training curve)?,Plot of training loss over epochs/iterations,Loss landscape,Feature importance,Model accuracy curve,A
AI & ML,Training,Easy,What does training loss decreasing but validation loss increasing indicate?,Overfitting — model memorizing training data,Underfitting,Good generalization,Normal training,A
AI & ML,Training,Medium,What is the warm-start technique?,Initializing model with weights from a previous run,Random initialization,Transfer learning,Fine-tuning,A
AI & ML,Training,Hard,What is curriculum learning?,"Training on easier examples first, gradually increasing difficulty",Random order training,Hardest first,Sorted by label,A
AI & ML,Training,Hard,What is self-paced learning?,"Model selects which samples to train on (starts with easy, adds hard)",Curriculum learning,Data augmentation,Active learning,A
AI & ML,Training,Hard,What is hard negative mining?,Selecting difficult negative examples for more effective training,Using all negatives,Random negative selection,Ignoring negatives,A
AI & ML,Training,Medium,What is class-balanced sampling?,Drawing equal samples per class per batch during training,Random sampling,Stratified sampling,Weighted sampling,A
AI & ML,Training,Medium,What is weighted random sampling?,Each sample drawn with probability proportional to its weight,Uniform sampling,Stratified sampling,Systematic sampling,A
AI & ML,Training,Hard,What is gradient norm?,L2 norm of all gradients — used in gradient clipping,Loss value,Parameter count,Learning rate value,A
AI & ML,Training,Hard,Why monitor gradient norms during training?,Detect exploding gradients and training instability,For early stopping only,For batch selection,For learning rate selection,A
AI & ML,Training,Hard,What is loss masking?,Ignoring loss contribution from padding tokens or irrelevant positions,Data masking,Attention masking,Dropout masking,A
AI & ML,Training,Hard,What is auxiliary loss?,Additional loss term added to help training of intermediate representations,Main loss,Validation loss,Regularization loss,A
AI & ML,Training,Medium,What is multi-task learning?,Training one model on multiple related tasks simultaneously,Ensemble of models,Transfer learning,Fine-tuning,A
AI & ML,Training,Medium,What is pretraining?,Training model on large general dataset before fine-tuning on task,Fine-tuning,Transfer learning,Warm start,A
AI & ML,Training,Easy,What is the difference between pretraining and fine-tuning?,Pretraining on large data; fine-tuning adapts to specific task,Both are the same,Fine-tuning on large data,Pretraining on small data,A
AI & ML,Training,Medium,What is feature extraction (frozen layers)?,Using pre-trained model as fixed feature extractor; only train top layers,Full fine-tuning,Random initialization,Hyperparameter tuning,A
AI & ML,Training,Hard,What is catastrophic forgetting?,Neural network forgets previously learned tasks when trained on new ones,Overfitting on new task,Underfitting,Gradient vanishing,A
AI & ML,Training,Hard,Continual learning addresses:,Learning new tasks without forgetting old ones,Batch learning,Transfer learning,Multi-task learning,A
AI & ML,Training,Hard,What is Elastic Weight Consolidation (EWC)?,Prevents catastrophic forgetting by penalizing changes to important weights,Standard L2 regularization,Dropout variant,Early stopping,A
AI & ML,Training,Hard,What is knowledge distillation training?,Student network trained to match teacher network's soft probability outputs,Standard supervised training,Fine-tuning,Ensemble training,A
AI & ML,Training,Hard,What is temperature scaling in distillation?,Softens teacher's probability distribution to transfer more information,Hard label training,Learning rate scaling,Batch size scaling,A
AI & ML,Training,Hard,What is neural network pruning during training?,Removing unnecessary connections while maintaining performance,Adding connections,Regularization only,Feature selection,A
AI & ML,Training,Hard,What is lottery ticket hypothesis?,Dense networks contain sparse subnetworks ('winning tickets') that train well alone,All neurons equally important,Pruning always hurts,Dense is always better,A
AI & ML,Training,Hard,What is progressive resizing in image training?,"Training on small images first, gradually increasing resolution",Random resizing,Standard augmentation,Batch size strategy,A
AI & ML,Training,Hard,What is test-time augmentation (TTA)?,Averaging predictions over multiple augmented versions of test input,Standard augmentation,Validation augmentation,Training augmentation only,A
AI & ML,Training,Hard,What is gradient tape in TensorFlow?,Context manager recording operations for automatic differentiation,Gradient clipping,Variable tracking,Loss recording,A
AI & ML,Training,Medium,What is autograd in PyTorch?,Automatic differentiation engine tracking operations for backprop,Manual gradient computation,Training loop helper,Data loading utility,A
AI & ML,Training,Medium,What is the purpose of optimizer.zero_grad() in PyTorch?,Clears accumulated gradients before computing new ones,Resets model weights,Clears batch data,Resets learning rate,A
AI & ML,Training,Easy,What is loss.backward() in PyTorch?,Computes gradients via backpropagation,Updates weights,Clears gradients,Loads next batch,A
AI & ML,Training,Easy,What is optimizer.step() in PyTorch?,Updates model parameters using computed gradients,Computes gradients,Clears gradients,Evaluates model,A
AI & ML,Training,Medium,What is model.train() vs model.eval() in PyTorch?,train(): activates dropout/batch norm; eval(): deactivates them,Same behavior,eval() trains on eval data,train() evaluates,A
AI & ML,Training,Medium,What is torch.no_grad() used for?,Disables gradient computation for inference (saves memory),Enables gradient computation,Clears gradients,Resets model,A
AI & ML,Training,Easy,What is validation loss used for during training?,Monitor overfitting; guide early stopping; select best model,Only for reporting,Final evaluation,Replacing test set,A
AI & ML,Training,Medium,What is model checkpointing?,Saving model at best validation performance during training,Saving at each epoch,Saving final model only,Saving initial weights,A
AI & ML,Training,Medium,What is early stopping criteria?,Validation loss not improving for N consecutive epochs (patience),Training loss threshold,Fixed epoch count,Fixed time limit,A
AI & ML,Training,Hard,What is the effect of batch normalization on training?,"Stabilizes training, allows higher LR, acts as mild regularizer",Only speeds up training,Only regularizes,No effect on LR,A
AI & ML,Training,Medium,What is layer freezing in fine-tuning?,Preventing early layers from updating (keep pre-trained features),Preventing all layers from updating,Dropout on early layers,L2 regularization on early layers,A
AI & ML,Training,Hard,What is discriminative fine-tuning?,Using different learning rates for different layers (lower for early),Same LR for all layers,Freezing some layers,Removing some layers,A
AI & ML,Training,Hard,What is cyclical fine-tuning?,Cycle between training different layer groups with varying LR,Standard fine-tuning,Cyclic LR only,Curriculum learning,A
AI & ML,Training,Hard,What is label smoothing and its effect on training?,Softens hard labels to prevent overconfidence; improves calibration,Harder training targets,Larger loss values,More overfitting,A
AI & ML,Training,Hard,What is stochastic depth (DropPath)?,Randomly drops entire residual blocks during training,Dropout on individual neurons,Layer-wise dropout,Attention dropout,A
AI & ML,Training,Medium,What is the effect of weight decay (L2) on trained weights?,"Pulls weights toward zero, preventing large weights",Randomly zeroes weights,Clips weights,Normalizes weights,A
AI & ML,Training,Hard,What is mini-batch statistics vs population statistics in batch norm?,Training uses mini-batch stats; inference uses running stats,Both use mini-batch,Both use running stats,No statistics used,A
AI & ML,ML Formula,Easy,Linear regression: ŷ = ?,β₀ + β₁x₁ + β₂x₂ + ... + βₙxₙ,β₀ × β₁x₁,β₀ + x₁,Σβᵢ,A
AI & ML,ML Formula,Easy,Mean Squared Error (MSE) = ?,(1/n)Σ(yᵢ − ŷᵢ)²,(1/n)Σ|yᵢ − ŷᵢ|,√[(1/n)Σ(yᵢ − ŷᵢ)²],Σ(yᵢ − ŷᵢ)²/2,A
AI & ML,ML Formula,Easy,Root Mean Squared Error (RMSE) = ?,√MSE,MSE²,MSE/n,(MSE)²,A
AI & ML,ML Formula,Easy,Mean Absolute Error (MAE) = ?,(1/n)Σ|yᵢ − ŷᵢ|,(1/n)Σ(yᵢ − ŷᵢ)²,√[(1/n)Σ|yᵢ − ŷᵢ|],Σ|yᵢ − ŷᵢ|/2,A
AI & ML,ML Formula,Medium,R² (Coefficient of Determination) = ?,1 − SS_res/SS_tot,SS_res/SS_tot,SS_tot/SS_res,1 + SS_res/SS_tot,A
AI & ML,ML Formula,Medium,SS_tot = ?,Σ(yᵢ − ȳ)²,Σ(yᵢ − ŷᵢ)²,Σ(ŷᵢ − ȳ)²,Σyᵢ²,A
AI & ML,ML Formula,Medium,SS_res = ?,Σ(yᵢ − ŷᵢ)²,Σ(yᵢ − ȳ)²,Σ(ŷᵢ − ȳ)²,Σyᵢ²,A
AI & ML,ML Formula,Easy,Accuracy = ?,(TP + TN)/(TP + TN + FP + FN),TP/(TP + FP),TP/(TP + FN),(TP + FP)/(Total),A
AI & ML,ML Formula,Easy,Precision = ?,TP/(TP + FP),TP/(TP + FN),TN/(TN + FP),(TP + TN)/Total,A
